job_id,company,job-title,level,long_url
3838197570,HoYoverse,Data Analyst - Fresh Grad,Entry level,https://sg.linkedin.com/jobs/view/data-analyst-fresh-grad-at-hoyoverse-3838197570?position=1&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=FZmoakWLV7IL3NRxxyPJBA%3D%3D&trk=public_jobs_jserp-result_search-card
3846649102,Avient Corporation,Junior Data Analyst,Entry level,https://sg.linkedin.com/jobs/view/junior-data-analyst-at-avient-corporation-3846649102?position=2&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=ejf2gFJ2eXsO75DTlJYw1A%3D%3D&trk=public_jobs_jserp-result_search-card
3866944818,Hyphens Pharma International Ltd.,Data Analyst,Executive,https://sg.linkedin.com/jobs/view/data-analyst-at-hyphens-pharma-international-ltd-3866944818?position=3&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=W7P75ham3mlq4VQ4uhaByA%3D%3D&trk=public_jobs_jserp-result_search-card
3854966187,Nicoll Curtin,Data Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/data-analyst-at-nicoll-curtin-3854966187?position=4&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=xkF5ois0VymUEQXffjI%2BlQ%3D%3D&trk=public_jobs_jserp-result_search-card
3838197569,HoYoverse,Data Analyst - Globalization - Fresh Grad,Entry level,https://sg.linkedin.com/jobs/view/data-analyst-globalization-fresh-grad-at-hoyoverse-3838197569?position=5&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=v9tZGvxF3L%2Flk1XqcHaElg%3D%3D&trk=public_jobs_jserp-result_search-card
3825475683,minden.ai,Data Analyst,Associate,https://sg.linkedin.com/jobs/view/data-analyst-at-minden-ai-3825475683?position=6&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=2blxU%2Fdo%2FYUUmuUFRTDnfA%3D%3D&trk=public_jobs_jserp-result_search-card
3861515829,Shopee,Senior Data Analyst - Marketplace Product,Mid-Senior level,https://sg.linkedin.com/jobs/view/senior-data-analyst-marketplace-product-at-shopee-3861515829?position=7&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=dBp1j1mICkuQ8ZyobcSB%2FA%3D%3D&trk=public_jobs_jserp-result_search-card
3817865768,CHARLES & KEITH GROUP,Data Scientist / Data Analyst,Executive,https://sg.linkedin.com/jobs/view/data-scientist-data-analyst-at-charles-keith-group-3817865768?position=8&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=nu8%2FAyvU4jI3B1PiAmeE6Q%3D%3D&trk=public_jobs_jserp-result_search-card
3861516106,SPH Media,Data Analyst,Associate,https://sg.linkedin.com/jobs/view/data-analyst-at-sph-media-3861516106?position=9&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=PYD12h5%2BkZrrzUysf%2BU8Wg%3D%3D&trk=public_jobs_jserp-result_search-card
3838198465,HoYoverse,Data Analyst (Honkai: Star Rail) – Fresh Grad,Entry level,https://sg.linkedin.com/jobs/view/data-analyst-honkai-star-rail-%E2%80%93-fresh-grad-at-hoyoverse-3838198465?position=10&pageNum=0&refId=G%2F9474y1aCOdcMje%2BzwBQQ%3D%3D&trackingId=RNQ4sYtvrMv%2Fm%2F5f2m3JrQ%3D%3D&trk=public_jobs_jserp-result_search-card
