job_id,company,job-title,long_url
3838197570,HoYoverse,Data Analyst - Fresh Grad,https://sg.linkedin.com/jobs/view/data-analyst-fresh-grad-at-hoyoverse-3838197570?position=1&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=5LNCLTcVRenXqqpOSDsbgg%3D%3D&trk=public_jobs_jserp-result_search-card
3846649102,Avient Corporation,Junior Data Analyst,https://sg.linkedin.com/jobs/view/junior-data-analyst-at-avient-corporation-3846649102?position=2&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=szds2jACw6LxWkmPoheKzA%3D%3D&trk=public_jobs_jserp-result_search-card
3866944818,Hyphens Pharma International Ltd.,Data Analyst,https://sg.linkedin.com/jobs/view/data-analyst-at-hyphens-pharma-international-ltd-3866944818?position=3&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=Wt0q%2FJuqjperejHKx1%2BkfQ%3D%3D&trk=public_jobs_jserp-result_search-card
3854966187,Nicoll Curtin,Data Analyst,https://sg.linkedin.com/jobs/view/data-analyst-at-nicoll-curtin-3854966187?position=4&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=oBNJC0YHhUMqG73O%2Fp1DAA%3D%3D&trk=public_jobs_jserp-result_search-card
3838197569,HoYoverse,Data Analyst - Globalization - Fresh Grad,https://sg.linkedin.com/jobs/view/data-analyst-globalization-fresh-grad-at-hoyoverse-3838197569?position=5&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=ukCmNscPsSKLgaufJ%2BQ2Iw%3D%3D&trk=public_jobs_jserp-result_search-card
3825475683,minden.ai,Data Analyst,https://sg.linkedin.com/jobs/view/data-analyst-at-minden-ai-3825475683?position=6&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=XztAKGDv4YalXfBmK6%2BLuw%3D%3D&trk=public_jobs_jserp-result_search-card
3861515829,Shopee,Senior Data Analyst - Marketplace Product,https://sg.linkedin.com/jobs/view/senior-data-analyst-marketplace-product-at-shopee-3861515829?position=7&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=nijJlKKWFQQnF8jkk8KAfQ%3D%3D&trk=public_jobs_jserp-result_search-card
3817865768,CHARLES & KEITH GROUP,Data Scientist / Data Analyst,https://sg.linkedin.com/jobs/view/data-scientist-data-analyst-at-charles-keith-group-3817865768?position=8&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=SPQD4kAW588MZXYqHOZPZA%3D%3D&trk=public_jobs_jserp-result_search-card
3861516106,SPH Media,Data Analyst,https://sg.linkedin.com/jobs/view/data-analyst-at-sph-media-3861516106?position=9&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=amMa2RyBXIjkD5x%2BdzoRUA%3D%3D&trk=public_jobs_jserp-result_search-card
3838198465,HoYoverse,Data Analyst (Honkai: Star Rail) – Fresh Grad,https://sg.linkedin.com/jobs/view/data-analyst-honkai-star-rail-%E2%80%93-fresh-grad-at-hoyoverse-3838198465?position=10&pageNum=0&refId=HVYE9QCTz8JJKFImoBBp2A%3D%3D&trackingId=SVUpe9Yf5Neg0GMV%2Bc2HOQ%3D%3D&trk=public_jobs_jserp-result_search-card
